1972	14	よしだたくろう	結婚しようよ	0.88
1972	15	チェリッシュ	ひまわりの小径	-0.62
1972	16	尾崎紀世彦	愛する人はひとり	-0.86
1972	17	麻丘めぐみ	芽ばえ	-0.36
1972	18	三善英史	雨	-0.7
1972	19	森田健作	友達よ泣くんじゃない	0.62
1972	21	奥村チヨ	終着駅	-0.84
1972	23	橋幸夫	子連れ狼	-0.88
1972	24	ハニー・ナイツ	ふりむかないで	0.25
1972	26	朱里エイコ	北国行きで	-0.68
1972	27	沢田研二	許されない愛	-0.62
1972	28	南沙織	純潔	0.93
1972	29	天地真理	水色の恋	-0.75
1972	30	森昌子	せんせい	-0.7
1973	01	宮史郎とぴんからトリオ	女のみち	-0.35
1973	03	ガロ	学生街の喫茶店	-0.35
1973	04	ちあきなおみ	喝采	-0.55
1973	05	沢田研二	危険なふたり	-0.55
1973	06	かぐや姫	神田川	-0.78
1973	07	チューリップ	心の旅	-0.45
1973	08	天地真理	恋する夏の日	0.93
1973	09	天地真理	若葉のささやき	0.6
1973	10	浅田美代子	赤い風船	0.32
1973	11	麻丘めぐみ	わたしの彼は左きき	-0.35
1973	12	ガロ	君の誕生日	-0.78
1973	13	天地真理	ふたりの日曜日	0.85
1973	15	西城秀樹	ちぎれた愛	0.22
1973	16	郷ひろみ	裸のビーナス	0.92
1973	17	アグネス・チャン	草原の輝き	-0.27
1973	18	フィンガー5	個人授業	-0.32
1973	19	八代亜紀	なみだ恋	-0.7
1973	20	あのねのね	赤とんぼの唄	0.0
1973	21	小柳ルミ子	漁火恋唄	-0.46
1973	22	梶芽衣子	怨み節	-0.85
1973	23	五木ひろし	あなたの灯	-0.72
1973	24	チェリッシュ	てんとう虫のサンバ	0.92
1973	26	チェリッシュ	避暑地の恋	0.86
1973	27	森昌子	中学三年生	-0.66
1973	28	アグネス・チャン	ひなげしの花	-0.62
1973	29	小柳ルミ子	春のおとずれ	0.27
1973	30	郷ひろみ	小さな体験	-0.27
1974	01	殿さまキングス	なみだの操	-0.7
1974	02	小坂明子	あなた	-0.25
1974	03	中条きよし	うそ	-0.78
1974	04	中村雅俊	ふれあい	0.34
1974	05	フィンガー5	恋のダイヤル6700	0.78
1974	06	殿さまキングス	夫婦鏡	-0.73
1974	07	渡哲也	くちなしの花	-0.68
1974	08	西城秀樹	激しい恋	-0.32
1974	09	布施明	積木の部屋	-0.45
1974	10	フィンガー5	学園天国	0.1
1974	11	沢田研二	追憶	-0.35
1974	12	りりィ	私は泣いています	-0.78
1974	13	グレープ	精霊流し	-0.45
1974	14	アグネス・チャン	小さな恋の物語	0.73
1974	15	山口百恵	ひと夏の経験	-0.2
1974	16	郷ひろみ	よろしく哀愁	-0.25
1974	18	梓みちよ	二人でお酒を	-0.32
1974	19	五木ひろし	夜空	-0.68
1974	20	山口百恵	ちっぽけな感傷	-0.93
1974	21	五木ひろし	浜昼顔	-0.62
1974	22	西城秀樹	愛の十字架	-0.78
1974	23	森進一	冬の旅	-0.78
1974	24	沢田研二	魅せられた夜	0.78
1974	25	八代亜紀	愛ひとすじ	-0.71
1974	26	アグネス・チャン	星に願いを	0.68
1974	27	フィンガー5	個人授業	-0.12
1974	28	西城秀樹	薔薇の鎖	0.86
1974	29	郷ひろみ	花とみつばち	0.62
1974	30	チェリッシュ	恋の風車	0.85
1975	02	布施明	シクラメンのかほり	-0.35
1975	03	小坂恭子	想い出まくら	-0.55
1975	04	沢田研二	時の過ぎゆくままに	-0.46
1975	05	ダウン・タウン・ブギウギ・バンド	港のヨーコ・ヨコハマ・ヨコスカ	-0.45
1975	06	岩崎宏美	ロマンス	0.92
1975	07	風	22才の別れ	-0.46
1975	08	細川たかし	心のこり	-0.68
1975	09	かまやつひろし	我が良き友よ	-0.15
1975	10	山口百恵	冬の色	0.55
1975	11	桜田淳子	はじめての出来事	0.42
1975	12	ダウン・タウン・ブギウギ・バンド	スモーキン’ブギ	-0.66
1975	13	バンバン	「いちご白書」をもう一度	-0.27
1975	14	野口五郎	私鉄沿線	-0.55
1975	15	八代亜紀	おんなの夢	-0.35
1975	16	中村雅俊	いつか街で会ったなら	-0.15
1975	17	西川峰子	あなたにあげる	-0.55
1975	18	桜田淳子	十七の夏	0.7
1975	19	アグネス・チャン	愛の迷い子	0.45
1975	20	西崎みどり	旅愁	-0.63
1975	21	クラフト	僕にまかせてください	0.27
1975	22	黒沢年男	やすらぎ	-0.42
1975	24	五木ひろし	千曲川	-0.46
